COG0151	97	144	131	160	238	189	121	185	167
COG0152	65	121	99	111	203	144	91	132	129
COG0153	74	119	115	123	212	151	83	164	129
COG0154	42	87	65	79	149	108	70	118	114
COG0155	14	24	19	26	41	23	12	30	46
COG0156	133	159	150	196	172	158	158	170	132
COG0157	51	82	57	81	98	94	68	82	82
COG0158	6	8	7	9	4	4	8	3	1
COG0159	30	46	24	24	65	60	17	54	58
COG0160	9	17	11	14	27	9	15	20	16
COG0161	40	59	58	65	65	59	59	63	51
COG0162	94	171	140	156	272	209	151	198	167
COG0163	5	6	14	11	23	9	14	13	17
COG0164	61	108	94	116	157	125	93	142	99
COG0165	74	128	109	125	216	149	83	169	121
COG0166	86	157	154	180	303	193	143	200	184
COG0167	99	140	136	151	217	155	102	171	148
COG0168	117	220	212	245	358	282	165	252	276
COG0169	73	129	112	127	178	144	84	143	141
COG0170	0	7	1	4	7	3	3	3	1
COG0171	80	128	115	135	195	138	110	129	133
COG0172	105	186	158	177	296	222	147	220	188
COG0173	115	207	198	215	420	278	170	287	231
COG0174	73	105	119	112	217	144	77	126	139
COG0175	49	79	97	84	183	125	71	99	105
COG0176	27	46	24	41	50	40	25	42	71
COG0177	60	124	96	111	166	134	91	144	129
COG0178	290	441	437	517	743	531	396	626	491
COG0179	32	59	49	63	52	58	40	56	65
COG0180	79	140	122	145	228	179	117	183	134
COG0181	20	29	29	34	42	35	15	29	57
COG0182	22	33	55	50	61	28	33	38	39
COG0183	19	56	72	61	122	61	43	66	106
COG0184	59	109	79	94	144	116	74	102	86
COG0185	54	101	78	84	129	105	75	114	83
COG0186	53	101	72	84	139	105	70	115	83
COG0187	248	446	371	441	712	519	365	575	448
COG0188	220	442	393	458	727	549	360	615	463
COG0189	7	25	10	16	32	22	12	27	17
COG0190	71	122	140	137	210	150	115	174	140
COG0191	128	191	161	218	331	232	147	246	294
COG0192	99	198	171	196	291	226	169	259	209
COG0193	66	121	100	113	192	135	88	126	108
COG0194	75	145	95	132	203	166	87	161	148
COG0195	57	112	104	113	170	127	91	134	93
COG0196	78	134	120	133	202	166	96	159	143
COG0197	57	115	78	91	144	125	91	130	91
COG0198	52	101	78	91	127	111	72	113	82
COG0199	42	86	70	73	103	85	56	83	70
COG0200	55	106	97	97	152	129	74	139	101
COG0201	96	169	155	191	267	223	126	242	168
COG0202	80	163	146	147	251	177	123	205	157
COG0203	55	116	92	100	160	126	82	124	105
COG0204	112	226	163	174	257	204	139	232	174
COG0205	178	297	252	294	471	367	210	383	359
COG0206	83	158	136	145	198	177	113	186	131
COG0207	60	104	93	110	133	120	77	124	106
COG0208	2	5	6	10	4	5	5	6	3
COG0209	63	82	75	110	100	87	80	106	77
COG0210	188	374	327	375	689	441	310	504	407
COG0211	50	105	83	86	117	101	67	91	86
COG0212	54	83	75	90	127	106	67	98	81
COG0213	14	57	30	46	74	69	37	64	47
COG0214	12	17	23	22	45	22	16	16	11
COG0215	97	165	166	191	287	217	152	248	194
COG0216	79	150	142	186	234	182	117	217	171
COG0217	59	138	118	132	203	152	108	166	119
COG0218	56	107	94	116	151	127	83	126	102
COG0219	22	65	58	57	120	74	50	84	79
COG0220	56	101	81	108	159	128	70	116	107
COG0221	14	32	17	24	43	43	23	54	23
COG0222	45	94	74	78	125	111	73	121	94
COG0223	74	164	154	147	263	174	121	195	154
COG0224	66	111	101	101	170	130	94	138	117
COG0225	17	31	24	37	32	24	33	33	21
COG0226	59	100	88	96	148	92	59	93	114
COG0227	43	84	71	72	95	91	59	82	63
COG0228	44	94	71	93	119	106	73	101	92
COG0229	18	24	17	22	19	16	19	17	14
COG0230	35	68	54	60	88	71	41	65	55
COG0231	58	96	78	91	144	120	87	113	93
COG0232	67	127	103	119	190	140	100	161	159
COG0233	65	109	97	112	178	141	98	134	121
COG0234	53	96	92	100	143	113	78	118	93
COG0235	81	148	124	114	271	166	91	173	178
COG0236	84	170	128	135	239	185	109	173	158
COG0237	58	102	90	91	137	121	81	113	97
COG0238	55	93	76	88	110	97	72	90	77
COG0239	35	46	44	49	38	42	34	42	32
COG0240	84	157	129	147	207	166	110	190	163
COG0241	11	30	29	24	58	24	25	31	28
COG0242	63	124	109	124	193	142	90	141	123
COG0243	135	240	69	71	50	157	77	65	107
COG0244	53	106	87	102	137	120	73	125	101
COG0245	56	98	88	99	127	104	81	112	103
COG0246	55	108	99	84	223	152	64	176	165
COG0247	36	55	53	61	54	45	58	47	36
COG0248	32	58	41	48	82	79	36	85	53
COG0249	214	324	308	352	608	414	274	459	320
COG0250	114	198	150	166	229	193	133	180	152
COG0251	76	127	118	138	172	152	97	138	158
COG0252	92	116	110	132	171	137	108	131	124
COG0253	74	118	121	134	210	151	86	158	144
COG0254	46	87	72	80	124	98	67	94	77
COG0255	41	80	65	62	121	92	55	85	67
COG0256	58	114	82	96	136	115	83	109	95
COG0257	26	58	42	42	55	57	40	49	40
COG0258	58	87	67	82	151	124	72	146	96
COG0259	5	8	5	7	5	4	4	3	6
COG0260	13	23	11	26	34	17	21	26	11
COG0261	52	96	74	94	132	112	80	101	82
COG0262	57	118	91	110	159	134	83	134	137
COG0263	41	96	89	72	174	100	42	81	103
COG0264	85	126	127	128	226	174	116	172	135
COG0265	113	217	226	232	408	288	183	281	257
COG0266	9	22	17	20	22	21	24	41	15
COG0267	42	74	59	66	76	72	59	79	56
COG0268	44	91	71	70	115	101	57	88	82
COG0269	2	8	1	4	11	1	1	7	17
COG0270	133	246	264	278	541	324	213	338	258
COG0272	122	242	259	274	465	307	215	340	256
COG0274	73	114	92	117	161	136	104	125	146
COG0275	92	167	137	172	242	187	130	196	191
COG0276	2	5	1	3	1	3	2	4	2
COG0277	22	45	47	60	49	44	49	46	47
COG0279	19	30	43	34	80	30	26	46	34
COG0280	105	137	168	180	274	194	129	184	175
COG0281	74	139	135	142	219	147	92	161	158
COG0282	88	164	151	165	294	201	129	222	178
COG0283	66	110	103	113	188	128	77	138	114
COG0284	56	82	81	85	139	100	67	101	90
COG0285	79	142	130	160	241	169	99	165	170
COG0286	151	288	314	328	536	327	234	319	245
COG0287	49	85	75	74	157	103	61	86	92
