"","cog.uniq"
"833","COG1007"
"834","COG1008"
"835","COG1009"
"836","COG1010"
"837","COG1011"
"838","COG1012"
"839","COG1013"
"840","COG1014"
"841","COG1015"
"842","COG1017"
"843","COG1018"
"844","COG1020"
"845","COG1021"
"846","COG1022"
"847","COG1024"
"848","COG1025"
"849","COG1026"
"850","COG1027"
"851","COG1028"
"852","COG1030"
"853","COG1032"
"854","COG1033"
"855","COG1034"
"856","COG1035"
"857","COG1036"
"858","COG1038"
"859","COG1039"
"860","COG1040"
"861","COG1041"
"862","COG1042"
"863","COG1043"
"864","COG1044"
"865","COG1045"
"866","COG1047"
"867","COG1048"
"868","COG1051"
"869","COG1052"
"870","COG1053"
"871","COG1055"
"872","COG1056"
"873","COG1057"
"874","COG1058"
"875","COG1060"
"876","COG1061"
"877","COG1062"
"878","COG1063"
"879","COG1064"
"880","COG1066"
"881","COG1067"
"882","COG1069"
"883","COG1070"
"884","COG1071"
"885","COG1072"
"886","COG1073"
"887","COG1074"
"888","COG1075"
"889","COG1076"
"890","COG1077"
"891","COG1078"
"892","COG1079"
"893","COG1080"
"894","COG1082"
"895","COG1083"
"896","COG1084"
"897","COG1086"
"898","COG1087"
"899","COG1088"
"900","COG1089"
"901","COG1090"
"902","COG1091"
"903","COG1092"
"904","COG1093"
"905","COG1094"
"906","COG1095"
"907","COG1096"
"908","COG1097"
"909","COG1098"
"910","COG1099"
"911","COG1100"
"912","COG1101"
"913","COG1102"
"914","COG1104"
"915","COG1105"
"916","COG1106"
"917","COG1108"
"918","COG1109"
"919","COG1111"
"920","COG1112"
"921","COG1113"
"922","COG1114"
"923","COG1115"
"924","COG1116"
"925","COG1117"
"926","COG1118"
"927","COG1119"
"928","COG1120"
"929","COG1121"
"930","COG1122"
"931","COG1123"
"932","COG1124"
"933","COG1125"
"934","COG1126"
"935","COG1127"
"936","COG1129"
"937","COG1131"
"938","COG1132"
"939","COG1134"
"940","COG1135"
"941","COG1136"
"942","COG1137"
"943","COG1138"
"944","COG1139"
"945","COG1140"
"946","COG1141"
"947","COG1142"
"948","COG1143"
"949","COG1144"
"950","COG1145"
"951","COG1146"
"952","COG1148"
"953","COG1149"
"954","COG1150"
"955","COG1151"
"956","COG1152"
"957","COG1154"
"958","COG1155"
"959","COG1156"
"960","COG1157"
"961","COG1158"
"962","COG1159"
"963","COG1160"
"964","COG1161"
"965","COG1162"
"966","COG1163"
"967","COG1164"
"968","COG1165"
"969","COG1166"
"970","COG1167"
"971","COG1168"
"972","COG1169"
"973","COG1171"
"974","COG1172"
"975","COG1173"
"976","COG1174"
"977","COG1175"
"978","COG1176"
"979","COG1177"
